Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
47083.6,0.11,8.38,189.2,423.1,352.2,257.1,10.39,737.08,8.18,161.8,259.7,176.1,7.57,726.8,7.76,37.9,141.2,79.6,57.1,1.46,738.58,7.54,7.6,42.8,16.0,13.6,0.24,738.41,0.145,0.263,0.271,0.953,0.697,0.96,0.899,0.955,0.977
42089.2,0.17,7.86,225.9,509.7,292.2,244.8,10.0,723.06,7.68,184.8,204.4,176.5,6.64,702.87,7.51,43.1,172.9,69.1,54.1,1.34,708.83,7.47,8.0,50.4,16.3,11.7,0.23,713.89,0.182,0.301,0.335,0.957,0.709,0.965,0.901,0.944,0.977
45597.6,0.08,8.13,181.0,378.3,279.4,211.6,9.69,705.58,7.91,156.3,198.1,150.8,6.11,703.83,7.54,38.1,134.5,56.1,48.0,1.15,701.07,7.48,7.3,36.0,11.8,12.3,0.09,701.34,0.136,0.291,0.37,0.953,0.732,0.96,0.905,0.958,0.99
40135.9,0.19,7.43,268.7,567.4,315.5,230.7,9.66,645.3,7.24,226.8,217.7,166.8,5.52,661.39,6.93,56.9,202.7,53.8,56.0,1.07,671.83,7.11,8.1,56.5,11.9,13.3,0.18,671.91,0.156,0.31,0.429,0.964,0.721,0.97,0.9,0.962,0.981
42651.7,0.2,7.62,269.0,559.7,226.9,178.5,7.43,645.17,7.63,227.8,145.5,129.9,4.33,644.0,7.28,51.7,184.6,39.4,36.6,0.68,638.95,7.29,8.1,46.9,5.1,6.3,0.13,635.49,0.153,0.359,0.418,0.964,0.746,0.97,0.916,0.977,0.982
44678.4,0.12,7.74,203.5,476.9,335.0,219.3,9.78,686.53,7.58,178.2,233.4,165.8,6.82,692.96,7.34,46.0,162.9,72.0,53.1,1.33,678.26,7.42,10.9,48.6,18.2,13.8,0.08,686.79,0.124,0.303,0.302,0.939,0.702,0.946,0.898,0.946,0.992
28082.0,0.16,7.9,213.9,501.0,187.1,156.0,6.45,652.88,7.83,178.2,133.6,112.9,3.88,676.4,7.47,48.4,177.3,40.2,33.3,0.88,684.46,7.39,9.7,50.4,6.5,9.2,0.14,675.27,0.167,0.286,0.398,0.946,0.716,0.955,0.899,0.965,0.978
36970.7,0.07,7.93,106.7,303.7,241.3,173.8,7.71,698.77,7.76,97.5,174.3,134.1,4.9,702.81,7.38,26.1,99.1,47.4,39.7,1.05,692.58,7.03,3.6,28.8,5.5,9.4,0.19,694.39,0.087,0.278,0.364,0.964,0.709,0.967,0.905,0.977,0.975
36887.6,0.08,7.99,174.1,372.9,350.6,255.8,10.88,717.39,7.95,155.2,243.9,183.4,7.27,709.74,7.52,36.8,134.0,67.5,59.5,1.45,708.17,7.5,4.8,39.5,12.8,13.5,0.25,707.08,0.109,0.305,0.332,0.969,0.705,0.973,0.894,0.964,0.977
35205.7,0.13,7.39,224.3,433.6,310.3,255.7,10.02,626.18,7.21,194.4,199.6,181.6,6.96,619.9,7.06,46.2,149.3,58.5,56.5,1.42,621.55,7.05,7.5,39.2,6.8,14.9,0.25,626.24,0.133,0.357,0.306,0.961,0.737,0.966,0.91,0.978,0.975
38101.4,0.1,8.32,171.4,406.7,346.5,282.3,10.15,703.36,8.22,140.8,230.2,198.6,6.54,703.37,7.83,36.1,136.6,64.1,59.9,1.22,706.45,7.44,6.0,32.2,10.6,10.7,0.17,706.32,0.179,0.336,0.356,0.957,0.764,0.965,0.921,0.969,0.984
52583.1,0.18,7.9,250.2,580.1,281.7,192.3,7.76,666.83,7.81,201.7,213.6,125.8,4.92,660.5,7.48,50.0,203.5,66.2,44.2,1.15,667.29,7.35,12.1,60.8,18.3,11.6,0.12,667.34,0.194,0.242,0.366,0.94,0.701,0.952,0.895,0.935,0.985
34479.7,0.23,7.88,298.4,612.7,220.2,174.9,6.66,684.8,7.97,259.1,145.4,127.9,4.35,679.22,7.37,66.1,217.6,42.0,43.7,1.08,683.87,7.29,11.6,63.7,7.6,8.9,0.07,682.27,0.132,0.34,0.347,0.955,0.707,0.961,0.896,0.965,0.989
46891.6,0.12,7.37,176.8,406.4,277.5,207.2,8.45,618.3,7.32,150.8,205.7,163.5,5.3,628.15,7.14,39.5,135.4,59.2,46.5,1.08,632.55,7.13,5.3,35.8,9.0,11.9,0.22,640.91,0.147,0.259,0.372,0.965,0.736,0.97,0.912,0.968,0.974
26167.9,0.13,7.78,180.1,407.6,280.0,217.4,8.64,702.77,7.64,149.3,188.5,159.8,5.45,713.03,7.33,40.6,140.7,53.5,46.7,1.35,706.71,7.35,7.2,41.0,10.8,10.5,0.24,706.72,0.171,0.327,0.37,0.952,0.708,0.96,0.899,0.962,0.973
37012.8,0.16,6.89,223.8,487.9,275.1,216.8,9.07,638.69,6.85,196.1,191.1,160.9,6.02,622.22,6.8,45.6,174.5,58.4,53.3,1.14,624.58,7.06,8.6,53.9,9.9,9.9,0.23,636.4,0.124,0.305,0.336,0.956,0.691,0.962,0.89,0.964,0.975
40876.6,0.22,8.02,281.0,589.5,322.4,252.7,10.73,721.73,8.09,234.6,230.7,179.1,7.03,713.55,7.28,59.3,200.2,69.4,56.4,1.28,701.51,7.46,8.8,60.6,15.6,11.7,0.16,703.14,0.165,0.284,0.345,0.963,0.697,0.969,0.897,0.952,0.985
44151.0,0.11,7.29,175.5,388.9,291.5,214.2,8.44,612.66,7.06,147.1,197.5,152.5,6.12,608.02,7.27,35.7,122.8,60.1,53.3,1.15,620.52,7.12,7.0,32.1,10.2,13.3,0.21,620.65,0.162,0.323,0.274,0.952,0.738,0.96,0.917,0.965,0.975
45540.0,0.15,7.72,243.1,529.2,297.5,233.3,9.51,673.55,7.56,209.3,221.0,174.9,6.31,679.54,7.56,52.0,172.9,67.0,57.8,1.24,668.32,7.35,11.2,42.5,13.9,12.4,0.11,667.45,0.139,0.257,0.336,0.947,0.754,0.954,0.92,0.953,0.988
45738.5,0.23,7.76,299.0,581.3,231.7,164.8,6.6,682.75,7.64,248.6,162.8,132.7,4.64,694.18,7.42,64.7,200.1,48.5,43.4,1.16,691.41,7.37,11.9,50.8,7.4,8.6,0.13,694.79,0.169,0.297,0.298,0.952,0.746,0.96,0.913,0.968,0.98
37377.7,0.07,8.21,146.5,371.1,298.2,233.7,9.37,714.03,8.08,124.0,212.5,178.7,5.77,741.05,7.65,33.9,119.3,59.6,54.1,1.13,730.5,7.56,4.9,32.2,17.1,11.0,0.18,726.97,0.154,0.288,0.384,0.96,0.73,0.966,0.913,0.943,0.981
36327.0,0.11,7.6,162.5,376.4,276.3,219.0,8.26,653.65,7.47,143.6,191.3,163.3,5.53,648.99,7.21,40.1,129.0,54.5,53.7,1.02,643.15,7.26,6.4,42.0,11.9,12.8,0.19,644.03,0.116,0.308,0.331,0.955,0.675,0.96,0.889,0.957,0.977
47104.3,0.14,7.55,201.5,457.1,246.4,186.9,6.72,664.96,7.34,172.3,177.8,134.8,4.15,660.8,7.24,44.4,173.3,51.8,39.3,0.74,660.91,7.28,5.5,45.6,10.1,11.3,0.19,660.95,0.145,0.279,0.382,0.968,0.737,0.973,0.9,0.959,0.971
38723.4,0.13,7.8,200.4,466.1,266.1,213.1,8.03,664.65,7.81,176.6,198.9,154.9,5.34,670.54,7.48,43.8,152.1,67.9,53.5,1.18,666.31,7.24,7.7,40.2,13.0,8.6,0.17,668.26,0.119,0.253,0.335,0.956,0.736,0.962,0.914,0.951,0.979
30096.0,0.18,8.07,225.5,507.0,257.6,205.4,8.75,746.9,7.86,197.3,179.2,142.6,5.9,740.08,7.67,48.6,175.2,48.4,46.9,1.28,749.23,7.64,9.2,46.6,8.6,14.5,0.15,751.33,0.125,0.304,0.326,0.953,0.734,0.959,0.908,0.967,0.983
30747.0,0.16,8.05,214.8,469.7,257.3,202.5,8.28,692.29,7.93,182.6,193.9,135.7,5.4,690.88,7.45,40.4,181.5,56.5,40.9,1.03,692.7,7.47,5.9,48.7,9.8,9.3,0.11,695.11,0.15,0.246,0.348,0.967,0.732,0.972,0.896,0.962,0.987
33705.0,0.05,7.64,145.9,340.0,331.1,273.2,11.96,685.95,7.62,112.3,226.9,188.8,8.5,681.8,7.15,32.1,122.3,68.5,62.8,1.51,678.1,7.19,8.7,34.2,12.1,14.7,0.19,678.67,0.23,0.315,0.29,0.923,0.72,0.94,0.899,0.963,0.984
44094.5,0.17,7.78,248.0,529.7,302.6,186.4,8.42,653.9,7.68,205.3,217.9,134.5,5.9,627.68,7.49,50.4,182.5,64.2,49.8,1.07,626.62,7.45,10.3,46.0,16.2,10.3,0.27,636.03,0.172,0.28,0.299,0.95,0.748,0.959,0.913,0.946,0.968
40208.2,0.13,7.44,203.0,435.1,267.5,200.7,9.11,617.56,7.26,176.4,191.1,142.4,6.28,618.8,7.08,45.6,151.0,61.6,44.9,1.43,628.55,6.9,5.5,46.6,11.2,9.9,0.25,631.09,0.131,0.285,0.311,0.969,0.691,0.973,0.893,0.958,0.972
45022.7,0.2,7.99,277.4,556.0,189.0,129.9,5.42,702.48,7.78,228.0,123.8,83.2,3.76,700.66,7.3,59.0,198.0,35.9,28.3,0.82,707.93,7.41,8.0,54.9,2.9,6.5,0.18,723.56,0.178,0.345,0.308,0.965,0.723,0.971,0.901,0.985,0.967
35711.7,0.13,7.36,200.0,416.7,214.5,166.8,7.17,643.46,7.24,168.4,151.8,119.9,5.19,656.17,6.96,38.4,159.4,44.6,37.1,1.04,647.06,6.98,5.4,54.5,6.6,6.6,0.14,647.36,0.158,0.292,0.276,0.968,0.658,0.973,0.869,0.969,0.98
41277.0,0.12,7.91,203.5,457.0,262.8,215.1,7.59,688.19,7.75,174.7,184.0,152.7,4.5,688.25,7.42,40.9,155.7,58.5,49.1,1.09,682.8,7.56,9.7,38.9,13.5,9.6,0.16,688.56,0.142,0.3,0.407,0.944,0.75,0.952,0.915,0.948,0.979
44943.8,0.16,7.95,251.5,528.4,243.9,191.0,7.92,684.22,7.87,221.1,163.9,129.3,5.56,671.67,7.41,59.9,178.9,56.4,36.9,1.31,675.47,7.34,12.1,56.4,10.8,9.9,0.23,671.11,0.121,0.328,0.298,0.945,0.684,0.952,0.893,0.956,0.971
37291.0,0.18,8.43,254.8,535.5,363.6,258.1,10.37,730.88,8.22,213.7,257.4,183.2,6.44,728.3,7.9,54.3,176.4,82.9,58.6,1.29,731.13,7.59,12.2,55.0,16.3,10.6,0.17,739.54,0.161,0.292,0.379,0.943,0.688,0.952,0.897,0.955,0.984
44659.7,0.17,7.5,248.5,514.3,269.3,198.6,7.99,644.28,7.46,208.0,189.7,140.7,5.03,623.37,7.13,50.3,180.8,56.4,45.2,1.0,614.96,7.11,9.1,49.0,13.6,10.6,0.14,610.74,0.163,0.296,0.371,0.956,0.729,0.964,0.905,0.949,0.983
34979.1,0.08,7.8,142.4,342.2,346.9,258.1,10.95,689.47,7.7,120.8,242.2,181.5,7.28,677.36,7.46,29.8,108.5,72.5,63.5,1.4,683.36,7.23,5.1,28.8,12.9,13.4,0.18,686.09,0.152,0.302,0.335,0.958,0.735,0.965,0.916,0.963,0.984
37458.6,0.17,8.39,227.1,537.4,271.6,222.1,9.06,727.42,8.3,194.8,189.6,166.4,6.26,733.78,7.77,52.0,184.4,57.1,47.9,1.22,726.65,7.55,7.5,47.9,12.7,9.1,0.16,725.07,0.142,0.302,0.309,0.962,0.74,0.967,0.911,0.953,0.982
36480.6,0.12,8.19,178.2,399.0,272.6,203.0,9.01,712.01,8.21,150.7,190.1,132.9,5.51,709.53,7.74,40.5,132.4,57.6,41.7,0.95,719.96,7.45,7.8,33.4,10.2,12.1,0.15,722.68,0.154,0.303,0.388,0.948,0.747,0.956,0.916,0.963,0.984
29933.7,0.15,7.51,221.8,471.9,260.7,206.8,8.22,642.17,7.37,193.8,179.5,135.0,5.19,651.39,7.23,44.1,173.8,50.5,47.1,0.89,655.63,7.14,7.6,48.6,11.2,8.9,0.09,654.22,0.126,0.311,0.369,0.961,0.72,0.966,0.897,0.957,0.989
43914.2,0.09,7.73,176.6,404.1,300.5,218.8,8.49,676.99,7.57,146.2,211.4,157.6,5.54,657.32,7.75,41.4,137.4,67.2,49.7,0.94,648.27,7.36,7.1,38.5,12.7,9.2,0.15,643.53,0.173,0.296,0.347,0.951,0.719,0.96,0.905,0.958,0.982
36331.3,0.18,7.89,225.7,493.4,338.6,250.8,11.05,706.43,7.74,192.4,231.8,181.2,7.13,704.01,7.34,51.0,175.9,70.4,57.5,1.53,699.77,7.33,11.6,42.8,13.6,12.4,0.24,698.14,0.147,0.315,0.355,0.94,0.756,0.949,0.913,0.96,0.978
39171.8,0.1,7.9,180.6,414.8,148.4,128.2,5.33,689.55,7.79,155.7,125.1,95.2,3.72,684.8,7.37,38.5,132.3,37.4,28.0,0.59,680.43,7.26,6.7,46.2,9.1,5.0,0.08,689.68,0.138,0.157,0.302,0.957,0.651,0.963,0.889,0.939,0.985
